206.168.142.132	1029	206-168-142-132.att.com	AT&T Corp.	AS7018				407 Proxy Authentication Required	
12.120.206.41	443	sasvpdl.test.callvantage.att.com;sasvpdl2.r4.oam.itn.bvoip.att.com;sasvpdl2.r3.oam.itn.bvoip.att.com;sasvpdl2vdna.r2.itn.labs.att.com;sasvpdl3r2vdna.itn.labs.att.com;sasvpdlbvdna.r2.itn.labs.att.com;sasvpdlbr4vdna.itn.labs.att.com;sasvpdl3.r4.oam.itn.bvoip.att.com;sasvpdl1r2vdna.itn.labs.att.com;sasvpdlr3vdna.itn.labs.att.com;sasvpdl1.r4.oam.itn.bvoip.att.com;sasvpdl1vdna.r2.itn.labs.att.com;sasvpdl4r3vdna.itn.labs.att.com;sasvpdl1.r3.oam.itn.bvoip.att.com;sasvpdl1r3vdna.itn.labs.att.com;sasvpdlvdna.r2.itn.labs.att.com;sasvpdl1r4vdna.itn.labs.att.com;sasvpdlr4vdna.itn.labs.att.com;sasvpdlr2vdna.itn.labs.att.com;sasvpdl2r4vdna.itn.labs.att.com;sasvpdl3vdna.r2.itn.labs.att.com;sasvpdl2r3vdna.itn.labs.att.com;sasvpdl2r2vdna.itn.labs.att.com;sasvpdlb.test.callvantage.att.com;sasvpdl4r4vdna.itn.labs.att.com;sasvpdl3r4vdna.itn.labs.att.com;sasvpdl4vdna.r2.itn.labs.att.com;sasvpdlbr2vdna.itn.labs.att.com;sasvpdlbr3vdna.itn.labs.att.com;sasvpdl3r3vdna.itn.labs.att.com;sasvpdl4r2vdna.itn.labs.att.com;sasvpdlb.r2.itn.labs.att.com;sasvpdl4.r3.oam.itn.bvoip.att.com;sasvpdl3.r3.oam.itn.bvoip.att.com;sasvpdl4.r4.oam.itn.bvoip.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
144.160.219.94	443	etrakuat.att.com	AT&T Services, Inc.	AS797					
118.214.111.4	443	sasvpdl3r2vdna.itn.labs.att.com;a118-214-111-4.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
144.160.107.200	443	ebiznet.att.com;wafebiznet.att.com	AT&T Services, Inc.	AS797				Request Rejected	
216.55.149.49	995	websitesmail.att.com;websitesmailc45.carrierzone.com	Internet Names For Business Inc.	AS30447					
195.75.95.26	443	defrahvdue607.intl.att.com;defrahvdue605.intl.att.com;defrahvdue606.intl.att.com;hvd-intl08.att.com	Network of AT&T ITO	AS2686					
144.160.233.70	443	csmip.bus.att.com	AT&T Services, Inc.	AS797					
3.215.206.80	443	cloudhub-east-uat.att.com;cloudhub-east-perf-3.att.com;cloudhub-east-test.att.com;cloudhub-east-perf-6.att.com;cloudhub-east-perf-8.att.com;cloudhub-east-perf-9.att.com;cloudhub-east-perf-5.att.com;cloudhub-east-hf.att.com;cloudhub-east-perf-7.att.com;cloudhub-east-stg.att.com;cloudhub-east-dev.att.com;ec2-3-215-206-80.compute-1.amazonaws.com;cloudhub-east-perf-1.att.com;cloudhub-east-perf.att.com;cloudhub-east-qa.att.com;cloudhub-east-trng.att.com;cloudhub-east-perf-2.att.com;cloudhub-east-perf-4.att.com;cloudhub-east-sit.att.com	Amazon Data Services NoVa	AS14618				400 No required SSL certificate was sent	
144.160.29.89	443	b2b.att.com;b2bag.att.com;b2bsae.att.com;b2bsde.att.com;b2bage.att.com;b2bsa.att.com;b2bsd.att.com;b2be.att.com	AT&T Services, Inc.	AS797				Request Rejected	
104.96.178.138	443	testaz.copyright.att.net;api.ato.cloud.att.com;mail-gaalpa1msl.exch.att.com;r-tst1.test-e.att.com;copyrightnew.stage.att.net;autodiscover.atttest.com;idprep-mpie.test-e.att.com;idp-mpie.test-e.att.com;failover-finalstage.att.com;cd.ato.cloud.att.com;dmp.test-e.att.com;a104-96-178-138.deploy.static.akamaitechnologies.com;pre-fs.att.com;bcmock.stage-e.att.com;secure-az-qc-test-e.cloud.att.com;stageaz-copyright.stage.att.net;biz-tst3.test-e.att.com;oidc.stage.blogin.att.com;mascert-nprd-eh-01.att.com;hdr3-oidc.test.att.com;m.stage.att.com;abshdr.test.att.com;review.attbelieves.com;idprep-fie.test-e.att.com;akastage-finalstage.att.com;bcst4.test.att.com;biz-tst1.test-e.att.com;brandcenter.test.att.com;lgw-dev-az.test.att.com;abshdr2.test.att.com;idpb2b-mpie.test-e.att.com;finalstage.att.com;bcuat2.stage-e.att.com;test6.att.com;tacs-ingress-test.att.com;troubleshoot-test2.test.att.com;csdktv.test.att.com;hdr-oidc.test.att.com;copyrightcms.stage.att.net;r-tst3.test-e.att.com;lgw-nprod-perf-az.test.att.com;aem-business.test-e.att.com;r-tst4.test-e.att.com;failover-fs.att.com;utf.stage.clogin.att.com;troubleshoot-test3.test.att.com;pre-finalstage.att.com;idc.test.att.com;akastage-identity.atttest.com;lgw-nprod-uat-az.test.att.com;idpb2b-fie.test-e.att.com;portal.ato.cloud.att.com;identity.atttest.com;boauthaccess.test.att.com;hdr2-oidc.test.att.com;r-tst2.test-e.att.com;biz-tst2.test-e.att.com;copyright-azeast.stage.att.net;dtv-auth.test.att.com;mail-cafrfd1msl.exch.att.com;aem-firstnet.test-e.att.com;in.ato.cloud.att.com;aem-preprodbusiness.test-e.att.com;bcuat4.stage-e.att.com;best-az.test.att.com;pre-brandcenter.test.att.com;bcuat3.stage-e.att.com;cdi.web.att.com;bcuat1.stage-e.att.com;idp-fie.test-e.att.com;tst.stage.att.com;globalsupplychain.test.att.com;premier.test.att.com;secure-az-stage-e.cloud.att.com;test2.att.com;utf.test.clogin.att.com;services-finalstage.att.com;test5.att.com;lgw-nprod-az.test.att.com;test3.att.com;fs.att.com;api-test-dmp.wireless.att.com;stageaz-copyright.att.net	Akamai Technologies, Inc.	AS33905	AkamaiGHost			Bad Request	
32.65.198.58	443	VUSKGMA2.att.com;vuskgma2.attglobal.net	AT&T Global Network Services, LLC	AS7018					
144.160.219.84	443	b2b.att.com;b2bag.att.com;b2bsae.att.com;b2bsde.att.com;b2bage.att.com;b2bsa.att.com;b2bsd.att.com;b2be.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.219.82	443	b2b.att.com;b2bag.att.com;b2bsae.att.com;b2bsde.att.com;b2bage.att.com;b2bsa.att.com;b2bsd.att.com;b2be.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.230.197	443	osm.att.com	AT&T Services, Inc.	AS797					
144.160.107.185	443	eplt1sourcing.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.107.189	443	pleprodtuhub.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.29.71	443	csidmaccess.att.com	AT&T Services, Inc.	AS797				Request Rejected	
147.154.116.112	443	resolve.att.com;www.resolve.att.com	Oracle Public Cloud	AS31898					
144.160.36.42	443	my.atttest.com;att.com;att.net	AT&T Services, Inc.	AS797					
12.194.22.89	443	sasvp.dvpn.bvoip.att.com;sasvpr4vdna.att.com;sasvp.r3.dvpn.bvoip.att.com;sasvpr3vdna.att.com;sasvpr4vdna.ncs.att.com;sasvpr2vdna.att.com;sasvpr3vdna.ncs.att.com;sasvpvdna.att.com;sasvp.r4.dvpn.bvoip.att.com;sasvpvdna.ncs.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
12.194.22.66	443	utildl4r3vdna.ncs.att.com;utildl3r3vdna.ncs.att.com;utildl4r3vdna.att.com;utildl3r2vdna.ncs.att.com;utildl1r3vdna.ncs.att.com;utildl2r4vdna.ncs.att.com;utildl2r3vdna.att.com;utildl3r2vdna.att.com;utildl4r4vdna.ncs.att.com;utildl1r4vdna.ncs.att.com;utildl3r3vdna.att.com;utildl1r3vdna.att.com;utildl1r2vdna.ncs.att.com;utildl4r4vdna.att.com;utildl1r2vdna.att.com;utildl4r2vdna.ncs.att.com;utildl3r4vdna.att.com;utildl3r4vdna.ncs.att.com;utildl2r4vdna.att.com;utildl2r2vdna.att.com;utildl1r4vdna.att.com;utildl2r2vdna.ncs.att.com;utildl4r2vdna.att.com;utildl2r3vdna.ncs.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
144.160.142.61	443	dmp-workorder-test.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.219.79	443	b2bsdcct.atttest.com;b2bsaccte.atttest.com;b2b.test.att.com;b2bsacct.atttest.com;b2bsdccte.atttest.com;b2be.test.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.154.139	443	dlc-ar.att.com	AT&T Services, Inc.	AS797					
144.160.29.93	443	b2bao.att.com;b2bece.att.com	AT&T Services, Inc.	AS797				Request Rejected	
23.198.85.179	443	sasvpdlr2vdna.itn.labs.att.com;a23-198-85-179.deploy.static.akamaitechnologies.com	Akamai International, BV	AS16625	AkamaiGHost			Invalid URL	
144.160.107.202	443	clec.att.com;wafclec.att.com	AT&T Services, Inc.	AS797				Request Rejected	
12.194.12.22	443	utildl4r3vdna.ncs.att.com;utildl3r3vdna.ncs.att.com;utildl4r3vdna.att.com;utildl3r2vdna.ncs.att.com;utildl1r3vdna.ncs.att.com;utildl2r4vdna.ncs.att.com;utildl2r3vdna.att.com;utildl3r2vdna.att.com;utildl4r4vdna.ncs.att.com;utildl1r4vdna.ncs.att.com;utildl3r3vdna.att.com;utildl1r3vdna.att.com;utildl1r2vdna.ncs.att.com;utildl4r4vdna.att.com;utildl1r2vdna.att.com;utildl4r2vdna.ncs.att.com;utildl3r4vdna.att.com;utildl3r4vdna.ncs.att.com;utildl2r4vdna.att.com;utildl2r2vdna.att.com;utildl1r4vdna.att.com;utildl2r2vdna.ncs.att.com;utildl4r2vdna.att.com;utildl2r3vdna.ncs.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
144.160.233.140	443	ssplarge.test.att.com	AT&T Services, Inc.	AS797					
20.22.74.137	443	expressportal.att.com	Microsoft Corporation	AS8075	Microsoft Azure Application Gateway	v2		404 Not Found	
144.160.107.175	443	dmp-workorder-test.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.107.155	443	botium-nprd-api.att.com	AT&T Services, Inc.	AS797					
12.226.222.55	443	mail900.hvs.att.com;ums102.hvs.att.com;log1.hvs.att.com;ums201.hvs.att.com;xsp3.hvs.att.com;pub.hvs.att.com;ums2.hvs.att.com;tel1.hvs.att.com;pub9-um.hvs.att.com;mail901.hvs.att.com;mail902.hvs.att.com;mail202.hvs.att.com;pub-um.hvs.att.com;hosp.hvs.att.com;pub2-cfg.hvs.att.com;xsp4.hvs.att.com;ums901.hvs.att.com;pub2-ums.hvs.att.com;hosp-uss.hvs.att.com;xsp2.hvs.att.com;hosp-xs.hvs.att.com;uss102.hvs.att.com;xsp101.hvs.att.com;pubxsp2.hvs.att.com;ems201.hvs.att.com;pub-um2.hvs.att.com;xsp904.hvs.att.com;ems101.hvs.att.com;pub-tel.hvs.att.com;ums101.hvs.att.com;mail201.hvs.att.com;pub-xs.hvs.att.com;ums1.hvs.att.com;ums902.hvs.att.com;xsp1.hvs.att.com;ems901.hvs.att.com;xsp903.hvs.att.com;xsp203.hvs.att.com;uss201.hvs.att.com;xsp201.hvs.att.com;pub9-xs.hvs.att.com;xsp104.hvs.att.com;pub9.hvs.att.com;pub2.hvs.att.com;pub-um1.hvs.att.com;pub-um101.hvs.att.com;tel2.hvs.att.com;pub2-uss.hvs.att.com;pub2-um.hvs.att.com;mail200.hvs.att.com;uss101.hvs.att.com;xsp103.hvs.att.com;pub9-ums.hvs.att.com;xsp202.hvs.att.com;ems202.hvs.att.com;log2.hvs.att.com;uss1.hvs.att.com;pub-cfg.hvs.att.com;pubxsp1.hvs.att.com;ems1.hvs.att.com;ems1pub-cfg.hvs.att.com;hosp-ums.hvs.att.com;xsp902.hvs.att.com;ems102.hvs.att.com;ums202.hvs.att.com;pub2-xs.hvs.att.com;xsp901.hvs.att.com;xsp204.hvs.att.com;uss901.hvs.att.com;ems902.hvs.att.com;uss902.hvs.att.com;hosp-um.hvs.att.com;ems2pub-cfg.hvs.att.com;hosp-cfg.hvs.att.com;pub-uss.hvs.att.com;pub-ums.hvs.att.com;xsp102.hvs.att.com;ems2.hvs.att.com;uss2.hvs.att.com;uss202.hvs.att.com;pub-um102.hvs.att.com;pub9-cfg.hvs.att.com;pub9-uss.hvs.att.com	TCORP-FA-PRODUCT TO PRODUCT	AS7018					
12.194.22.32	443	sasvpdl.callvantage.att.com;sasvpdl4r3vdna.ncs.att.com;sasvpdlr3vdna.att.com;sasvpdl2r4vdna.ncs.att.com;sasvpdl3r4vdna.ncs.att.com;sasvpdl3r3vdna.ncs.att.com;sasvpdl2r3vdna.ncs.att.com;sasvpdlr2vdna.att.com;sasvpdlbr4vdna.att.com;sasvpdlb.callvantage.att.com;sasvpdlr4vdna.att.com;sasvpdl1r2vdna.ncs.att.com;sasvpdl3r2vdna.ncs.att.com;sasvpdl1r3vdna.ncs.att.com;sasvpdlat4gavdna.att.com;sasvpdl1r4vdna.ncs.att.com;sasvpdl4r2vdna.ncs.att.com;sasvpdl2r2vdna.ncs.att.com;sasvpdlbr2vdna.att.com;sasvpdl4r4vdna.ncs.att.com;sasvpdlbr3vdna.att.com	AT&T Worldnet Services	AS7018	Apache httpd			Restricted Page	
32.65.198.75	443	vusphla2.attglobal.net;VUSPHLA2.att.com	AT&T Global Network Services, LLC	AS7018					
32.65.34.69	443	vussnta1.attglobal.net;VUSSNTA1.att.com	AT&T Global Network Services, LLC	AS7018					
23.54.251.44	443	sasvpdl3r2vdna.itn.labs.att.com;a23-54-251-44.deploy.static.akamaitechnologies.com	Akamai Technologies, Inc.	AS16625	AkamaiGHost			Invalid URL	
144.160.107.203	443	waftestclec.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.29.236	443	csintegration-waf.att.com	AT&T Services, Inc.	AS797					
144.160.154.128	443	ordertrackt7-ar.att.com	AT&T Services, Inc.	AS797					
144.160.107.190	443	pletesttuhub.att.com	AT&T Services, Inc.	AS797				Request Rejected	
104.114.193.181	443	att-snow-calnet.idp.blogin.att.com;www.movies.att.net;portal.bellsouth.net;www.synaptic.att.com;test.currently.com;att-salesforce.idp.blogin.att.com;www.hometab.bellsouth.net;login-dev.attwifi.com;san1.attssl.com;smallbusiness.bellsouth.net;cloudapi.synaptic.att.com;www.uverse.com;business.bellsouth.net;www.pricechanges.bellsouth.net;test.attonlineoffers.com;fom-proxy.attwifi.com;review.attbelieves.com;www.attpurchasing.com;www.attsuppliers.com;test.attpurchasing.com;att-snow-calnet.test.blogin.att.com;login-dev1.attwifi.com;att-snow-lvmh.idp.blogin.att.com;uverse.com;att-csso.stage.blogin.att.com;portal.wholesale.att.com;www.dsl.bellsouth.net;att-hbomax.test.clogin.att.com;att-snow-lvmh.stage.blogin.att.com;switch2.bellsouth.net;www.hosting.bellsouth.net;ftp.pwp.att.net;www.pensionchoice.att.com;tchosted.synaptic.att.com;www.bellsouth.com;www.switchto.bellsouth.net;www.sbc.com;attonlineoffers.com;dsl.bellsouth.net;www.biz.bellsouth.net;www.shop.att.com;att-csso.idp.blogin.att.com;partner.api.att.net;fom.attwifi.com;test.gpvpn.att.com;www.enterprise.att.com;www.currently.net;att-snow-calnet.stage.blogin.att.com;pricechanges.bellsouth.net;att-hbomax.stage.clogin.att.com;www.carsonandquinn.com;geo.stage.att.com;www.attonlineoffers.com;att-hbomax.idp.clogin.att.com;www.customerservice.att.com;attpurchasing.com;fom-test.attwifi.com;attsuppliers.com;prtl-test.gpvpn.att.com;hr-access.test.att.com;icds.portal.att.net;www.roam.bellsouth.net;test.thanksloyalty.com;currently.com;test-portal.wholesale.att.com;orderstatus.test.att.com;test.cloudapi.synaptic.att.com;carsonandquinn.com;login.stage.att.net;www.itcanwait.com;www.business.bellsouth.net;home.secureapp.att.net;www.currently.com;att-globys.idp.blogin.att.com;login.attwifi.com;www.miportal.bellsouth.net;www.smallbusiness.att.net;att-yahoo.stage.att.net;att-salesforce.stage.blogin.att.com;www.switch2.bellsouth.net;www.my.att.net;test.synaptic.att.com;home.bellsouth.net;a104-114-193-181.deploy.static.akamaitechnologies.com;www.music.att.net;att-snow-lvmh.test.blogin.att.com;www.attbelieves.com;test.attsuppliers.com;itcanwait.com;clouduser-wdc1.synaptic.att.com;roam.bellsouth.net;www.elportal.att.net;www.mysmallbiz.att.net;switchto.bellsouth.net;www.thanksloyalty.com;www.research.att.com;att-yahoo.test.att.net;thanksloyalty.com;clouduser.synaptic.att.com;www.home.bellsouth.net;att-globys.stage.blogin.att.com	Akamai Technologies, Inc.	AS25019	AkamaiGHost			Invalid URL	
32.65.38.56	443	VUSOKCA4.att.com;vusokca4.attglobal.net	AT&T Global Network Services, LLC	AS7018					
144.160.36.40	443	xpayorder.att.com	AT&T Services, Inc.	AS797				Request Rejected	
204.127.157.158	443	dsvtxv9ascd01-eth1.infra.cdn.att.net;ascendus.gw.labs.att.com	AT&T Enterprises, LLC	AS4466	Apache httpd			403 Forbidden	
32.64.160.38	443	VFRPARA2.att.com;vfrpara2.attglobal.net	AT&T Enterprises, LLC	AS2686					
32.64.172.22	443	vcaclga2.attglobal.net;VCACLGA2.att.com	AT&T Enterprises, LLC	AS2685					
32.64.164.85	443	VHKHNKA1.att.com;vhkhnka1.attglobal.net	AT&T Enterprises, LLC	AS2687					
144.160.233.139	443	sspsmall.test.att.com	AT&T Services, Inc.	AS797					
104.190.128.162	443	rfc6349-speedtest-sanfrancisco.att.com;rfc6349-speedtest-atlanta.att.com;rfc6349-speedtest-chicago.att.com;rfc6349-speedtest-dallas.att.com	AT&T Enterprises, LLC	AS7018	Jetty	9.4.58.v20250814		Error 404 Not Found	
32.65.32.37	443	VUSWASA1.att.com;vuswasa1.attglobal.net	AT&T Global Network Services, LLC	AS7018					
52.223.55.67	4443	a1ad19ac97e04b781.awsglobalaccelerator.com;RGDockerRegistry-prod-west.att.com	Amazon Technologies Inc.	AS16509	AWS ELB	2.0		403 Forbidden	
144.160.230.27	443	voltage-pp-0000.att.com	AT&T Services, Inc.	AS797					
144.160.230.120	443	gems.att.com	AT&T Services, Inc.	AS797					
35.71.133.63	4443	a1ad19ac97e04b781.awsglobalaccelerator.com;RGDockerRegistry-prod-west.att.com	Amazon Technologies Inc.	AS16509	AWS ELB	2.0		403 Forbidden	
32.65.34.24	443	vusdlsa4.attglobal.net;VUSDLSA4.att.com	AT&T Global Network Services, LLC	AS7018					
104.94.223.144	443	testaz.copyright.att.net;api.ato.cloud.att.com;mail-gaalpa1msl.exch.att.com;r-tst1.test-e.att.com;copyrightnew.stage.att.net;autodiscover.atttest.com;idprep-mpie.test-e.att.com;idp-mpie.test-e.att.com;failover-finalstage.att.com;cd.ato.cloud.att.com;dmp.test-e.att.com;pre-fs.att.com;bcmock.stage-e.att.com;secure-az-qc-test-e.cloud.att.com;stageaz-copyright.stage.att.net;biz-tst3.test-e.att.com;oidc.stage.blogin.att.com;mascert-nprd-eh-01.att.com;hdr3-oidc.test.att.com;m.stage.att.com;abshdr.test.att.com;review.attbelieves.com;idprep-fie.test-e.att.com;akastage-finalstage.att.com;bcst4.test.att.com;biz-tst1.test-e.att.com;a104-94-223-144.deploy.static.akamaitechnologies.com;brandcenter.test.att.com;lgw-dev-az.test.att.com;abshdr2.test.att.com;idpb2b-mpie.test-e.att.com;finalstage.att.com;bcuat2.stage-e.att.com;test6.att.com;tacs-ingress-test.att.com;troubleshoot-test2.test.att.com;csdktv.test.att.com;hdr-oidc.test.att.com;copyrightcms.stage.att.net;r-tst3.test-e.att.com;lgw-nprod-perf-az.test.att.com;aem-business.test-e.att.com;r-tst4.test-e.att.com;failover-fs.att.com;utf.stage.clogin.att.com;troubleshoot-test3.test.att.com;pre-finalstage.att.com;idc.test.att.com;akastage-identity.atttest.com;lgw-nprod-uat-az.test.att.com;idpb2b-fie.test-e.att.com;portal.ato.cloud.att.com;identity.atttest.com;boauthaccess.test.att.com;hdr2-oidc.test.att.com;r-tst2.test-e.att.com;biz-tst2.test-e.att.com;copyright-azeast.stage.att.net;dtv-auth.test.att.com;mail-cafrfd1msl.exch.att.com;aem-firstnet.test-e.att.com;in.ato.cloud.att.com;aem-preprodbusiness.test-e.att.com;bcuat4.stage-e.att.com;best-az.test.att.com;pre-brandcenter.test.att.com;bcuat3.stage-e.att.com;cdi.web.att.com;bcuat1.stage-e.att.com;idp-fie.test-e.att.com;tst.stage.att.com;globalsupplychain.test.att.com;premier.test.att.com;secure-az-stage-e.cloud.att.com;test2.att.com;utf.test.clogin.att.com;services-finalstage.att.com;test5.att.com;lgw-nprod-az.test.att.com;test3.att.com;fs.att.com;api-test-dmp.wireless.att.com;stageaz-copyright.att.net	Akamai Technologies, Inc.	AS33905	AkamaiGHost			Bad Request	
12.203.52.16	443	mail900.hvs.att.com;ums102.hvs.att.com;log1.hvs.att.com;ums201.hvs.att.com;xsp3.hvs.att.com;pub.hvs.att.com;ums2.hvs.att.com;tel1.hvs.att.com;pub9-um.hvs.att.com;mail901.hvs.att.com;mail902.hvs.att.com;mail202.hvs.att.com;pub-um.hvs.att.com;hosp.hvs.att.com;pub2-cfg.hvs.att.com;xsp4.hvs.att.com;ums901.hvs.att.com;pub2-ums.hvs.att.com;hosp-uss.hvs.att.com;xsp2.hvs.att.com;hosp-xs.hvs.att.com;uss102.hvs.att.com;xsp101.hvs.att.com;pubxsp2.hvs.att.com;ems201.hvs.att.com;pub-um2.hvs.att.com;xsp904.hvs.att.com;ems101.hvs.att.com;pub-tel.hvs.att.com;ums101.hvs.att.com;mail201.hvs.att.com;pub-xs.hvs.att.com;ums1.hvs.att.com;ums902.hvs.att.com;xsp1.hvs.att.com;ems901.hvs.att.com;xsp903.hvs.att.com;xsp203.hvs.att.com;uss201.hvs.att.com;xsp201.hvs.att.com;pub9-xs.hvs.att.com;xsp104.hvs.att.com;pub9.hvs.att.com;pub2.hvs.att.com;pub-um1.hvs.att.com;pub-um101.hvs.att.com;tel2.hvs.att.com;pub2-uss.hvs.att.com;pub2-um.hvs.att.com;mail200.hvs.att.com;uss101.hvs.att.com;xsp103.hvs.att.com;pub9-ums.hvs.att.com;xsp202.hvs.att.com;ems202.hvs.att.com;log2.hvs.att.com;uss1.hvs.att.com;pub-cfg.hvs.att.com;pubxsp1.hvs.att.com;ems1.hvs.att.com;ems1pub-cfg.hvs.att.com;hosp-ums.hvs.att.com;xsp902.hvs.att.com;ems102.hvs.att.com;ums202.hvs.att.com;pub2-xs.hvs.att.com;xsp901.hvs.att.com;xsp204.hvs.att.com;uss901.hvs.att.com;ems902.hvs.att.com;uss902.hvs.att.com;hosp-um.hvs.att.com;ems2pub-cfg.hvs.att.com;hosp-cfg.hvs.att.com;pub-uss.hvs.att.com;pub-ums.hvs.att.com;xsp102.hvs.att.com;ems2.hvs.att.com;uss2.hvs.att.com;uss202.hvs.att.com;pub-um102.hvs.att.com;pub9-cfg.hvs.att.com;pub9-uss.hvs.att.com	TCORP-FA-PRODUCT TO PRODUCT	AS7018				403 Forbidden	
144.160.29.70	443	p0-csidmaccess.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.233.168	443	rsvp.att.com	AT&T Services, Inc.	AS797					
