ATT.COM

                         A      144.160.155.43
                         A      144.160.36.42
altx5.uccentral          A      63.241.194.77
altxscp.uccentral        A      206.16.62.61
am02.acss                A      144.160.252.45
amc.mas                  A      12.129.219.139
ame-ngeag                A      135.209.156.51
ame-ngeag                A      135.209.168.42
ame-ngeag-aln            A      135.209.168.42
ame-ngeag-bth            A      135.209.156.51
ame-ngeag-onbd           A      135.209.156.56
ame-ngeag-qa             A      144.161.8.41
ame-ngeag-sndbx          A      135.209.156.54
ame-ngeaglab             A      144.160.149.145
ame-ngeaglab             A      144.161.168.21
ame-ngeaglab-ffdc        A      144.160.149.145
ame-ngeaglab-sfdc        A      144.161.168.21
amg-ch.amg               A      32.65.32.12
amg-dc.amg               A      32.65.32.44
amkorvideo               A      206.16.148.3
amsmeeting               A      32.42.47.132
amsscp.uccentral         A      32.42.46.61
anpw15ae.attpoc1         A      206.19.24.190
anpw15fep1webext.attpoc1  A      206.19.24.229
apc01ar.dp               A      144.161.116.207
apc0amdm02.dp            A      144.161.106.145
apc0amdm03.dp            A      144.160.19.203
apc0amdm03.dp            A      144.161.106.143
apc0amdmcim.dp           A      144.160.19.201
apc0amdmcim.dp           A      144.161.106.141
apc0ami00-al.dp          A      144.160.241.147
apc0ami00-sf.dp          A      144.160.19.54
apc0ami00.dp             A      144.160.19.54
apc0ami00.dp             A      144.160.241.147
apc0ami01.dp             A      144.160.19.49
apc0ami01.dp             A      144.160.241.145
apc0ami02.dp             A      144.160.19.50
apc0ami02.dp             A      144.160.241.146
apc0ami03.dp             A      144.160.19.168
apc0ami03.dp             A      144.161.106.119
apc0ami04.dp             A      144.160.19.147
apc0ami04.dp             A      144.161.106.118
apc0ami05.dp             A      144.160.19.15
apc0ami05.dp             A      144.160.241.15
apc0ami06.dp             A      144.161.106.243
apc0amimx02.dp           A      144.160.19.210
apc0amimx02.dp           A      144.161.106.201
apc0aretail-al.dp        A      144.161.106.139
apc0aretail-sf.dp        A      144.160.19.199
apc0aretail2-al.dp       A      144.161.106.138
apc0aretail2-sf.dp       A      144.160.19.198
apc0bmdm02.dp            A      144.161.106.144
apc0bmdm03.dp            A      144.161.106.142
apc0bmdmcim.dp           A      144.161.106.140
api-gateway-labs-a.ecolabs.cloud  A      135.170.26.208
api-gateway-labs-a.ecolabs.cloud  A      135.170.26.86
api-labs.ha.cloud        A      52.37.12.228
api.dco.cloud            A      135.170.100.123
api.dco.cloud            A      135.170.103.23
api.dco.cloud            A      135.170.234.45
api.dev.dco.cloud        A      135.170.47.48
api.dev.dni.cloud        A      135.170.47.48
api.dni.cloud            A      135.170.100.123
api.dni.cloud            A      135.170.103.23
api.ha.cloud             A      18.223.105.14
api.ist.dco.cloud        A      135.170.101.251
api.ist.dni.cloud        A      135.170.101.251
api.lab.dco.cloud        A      130.3.79.185
api.lab.dni.cloud        A      130.3.79.185
api.pdk1.ccp             A      104.176.200.7
api.san3.ccp             A      104.176.204.7
api.stg.dco.cloud        A      130.3.108.59
api.stg.dco.cloud        A      130.3.77.250
api.stg.dni.cloud        A      130.3.108.59
api.stg.dni.cloud        A      130.3.77.250
apiloginal               A      144.160.225.138
apiloginda               A      144.160.127.10
apiloginff               A      144.160.147.58
apiloginsf               A      144.160.25.55
apis.ciq.labs            A      216.103.127.208
apixbfvdna               A      12.194.12.71
apixbfvdna               A      12.194.12.72
apixbfvdna               A      12.194.22.115
apixbfvdna               A      12.194.22.116
apixbfvdna.itn.labs      A      12.120.206.96
apixbfvdna.itn.labs      A      12.120.206.97
apixbfvdna.itn.labs      A      12.193.113.52
apixbfvdna.itn.labs      A      12.193.113.53
apixbfvdna.psl.labs      A      12.120.213.97
apixbfvdna.psl.labs      A      12.120.213.98
apkrepo.iqidev.labs      A      52.252.0.170
appgw-mynotifications-test.az.cloud  A      20.72.96.13
applesso-pre             A      144.160.19.151
apps.bd.labs             A      20.97.232.108
apps.ciq.labs            A      216.103.127.207
appservice.research      A      204.178.9.72
ar.dp                    A      144.160.119.112
arborext.labs            A      205.173.58.19
arbtx.labs               A      205.173.58.37
arbtx1.labs              A      205.173.58.35
arbtx2.labs              A      205.173.58.36
argofax.research         A      204.178.3.10
arm                      A      216.77.188.77
arm.stage                A      216.77.188.121
aro1.research            A      204.178.9.71
asa-bdfw.research        A      12.106.32.2
asa-iml.research         A      12.106.32.5
asa-nyc.research         A      12.29.228.194
asac.midwest             A      144.160.21.99
ascendus.gw.labs         A      204.127.157.158
ascensionvideo           A      206.16.148.6
asdweb                   A      144.161.176.70
askatt.oci.cloud         A      132.226.117.220
ast.research             A      204.178.9.62
astrix-igw-dev.cloud     A      48.192.18.185
at1tng                   A      144.160.219.98
at4ga01mbc-noam.voiceconnect  A      12.194.105.133
atcswug.uc               A      130.6.139.35
atcswugws.uc             A      130.6.139.35
atlas-subgraph           A      4.151.27.144
atp01-dev1-corpfin.us-phoenix-1.oci.cloud  A      152.70.148.11
atp01-dev2-corpfin.us-phoenix-1.oci.cloud  A      152.70.153.23
atp01-dev3-corpfin.us-phoenix-1.oci.cloud  A      158.101.24.206
atp01-dev5-corpfin.us-phoenix-1.oci.cloud  A      141.148.181.94
atp01-dev6-corpfin.us-phoenix-1.oci.cloud  A      129.153.200.126
atp01-ords-dev5-corpfin.us-phoenix-1.oci.cloud  A      129.153.120.249
atp01-ords-dev6-corpfin.us-phoenix-1.oci.cloud  A      141.148.186.200
atp01-ords-prod-corpfin.us-phoenix-1.oci.cloud  A      137.131.49.174
atp01-prod-corpfin.oci.cloud  A      144.24.10.110
atp01-prod-corpfin.us-phoenix-1.oci.cloud  A      144.24.22.34
atp01-test-corpfin.oci.cloud  A      129.153.81.83
atp01-test-corpfin.us-phoenix-1.oci.cloud  A      137.131.33.69
ats-api                  A      12.67.0.139
att-hbomax-pre.idp.clogin  A      144.160.19.153
att-hbomax.dev.clogin    A      144.161.137.237
att-wifi-hotspot-redirect  A      192.0.2.1
attathome                A      144.160.219.246
attbdc-stage.az.cloud    A      4.150.64.204
attbiz                   A      144.160.230.205
attbusiness-prod         A      144.161.80.75
attcpesales              A      144.160.142.104
attcpesales-test         A      144.160.230.102
attengpreprod            A      144.161.75.178
au1tng                   A      144.160.219.99
auth-dev.nprd-gw.cloud   A      20.236.30.45
auth-labs-a.ecolabs.cloud  A      135.170.26.214
auth-labs-a.ecolabs.cloud  A      135.170.26.60
auth-pre                 A      144.160.19.151
auth-test-west.gw.cloud  A      20.230.253.18
auth.dco.cloud           A      135.170.100.123
auth.ist.dco.cloud       A      135.170.101.251
auth.lab.dco.cloud       A      130.3.108.52
auth.nprd-gw.cloud       A      52.246.253.236
auth.stg.dco.cloud       A      130.3.108.59
auth.stg.dco.cloud       A      130.3.77.250
autodiscover             A      144.161.71.235
autodiscover             A      144.161.9.203
autodiscover.claritynvtlync.test  A      206.18.191.93
autodiscover.claritynvtsfb.test  A      206.18.191.94
autoproxy.test           A      144.160.107.165
avaya                    A      144.160.241.81
avw-prod-ag.westus2.cloud  A      20.252.120.19
awm.teleconference       A      144.160.233.86
axtelvideo               A      63.241.223.24
b2b-ace-uat.gcsc         A      12.131.121.22
b2b-ace.gcsc             A      12.131.121.21
b2bage                   A      144.160.219.82
b2bage                   A      144.160.29.89
b2bagse                  A      144.160.107.92
b2bagse                  A      144.160.29.108
b2bdeve.test             A      144.160.107.74
b2bdevegw.test           A      144.160.29.94
b2be                     A      144.160.219.83
b2be                     A      144.160.29.90
b2be.test                A      144.160.219.79
b2be.test                A      144.160.29.84
b2bece                   A      144.160.219.88
b2bece                   A      144.160.29.93
b2becse                  A      144.160.107.88
b2becse                  A      144.160.29.105
b2begw                   A      144.160.107.85
b2begw                   A      144.160.29.102
b2begw.test              A      144.160.107.81
b2begw.test              A      144.160.29.98
b2bsae                   A      144.160.219.85
b2bsae                   A      144.160.29.88
b2bsase                  A      144.160.107.87
b2bsase                  A      144.160.29.104
b2bsde                   A      144.160.219.84
b2bsde                   A      144.160.29.87
b2bsdse                  A      144.160.107.86
b2bsdse                  A      144.160.29.103
baccess                  A      144.160.125.226
baccess                  A      144.160.19.212
baccess-al               A      144.161.106.182
baccess-alt              A      144.160.125.226
baccess-alt              A      144.160.19.212
baccess-ext              A      144.160.125.169
baccess-ext              A      144.160.19.139
baccess-ext-da           A      144.160.125.169
baccess-ext-pre          A      144.160.19.97
baccess-ext-sf           A      144.160.19.139
baccess-ff               A      144.161.77.254
baccess-pre              A      144.160.19.96
baccess.stage            A      144.161.106.211
bas-westus2-poc-app-rg-01.az.cloud  A      20.72.201.216
bbb.gw.cloud             A      20.83.92.133
bbnmsxlz                 A      144.160.154.98
bbqual.wholesale         A      144.160.13.114
bbtcpe1                  A      144.160.149.47
bbtcpe2                  A      144.160.241.141
bbtiuat.test             A      144.160.77.104
bc-da                    A      144.160.125.94
bc-sf                    A      144.160.13.28
bcadmin                  A      216.77.188.108
bccc-100.hvs             A      12.203.52.76
bcontent                 A      144.160.125.225
bcontent                 A      144.160.19.211
bcontent-pre             A      144.160.19.100
bcontent.stage           A      144.161.106.210
bd-asa1.research         A      12.24.224.2
bd-asa2.research         A      12.14.33.2
bdc1tlab02.research      A      204.178.3.139
be4nj01ucf03dmsw0.ims.research  A      135.197.249.36
beta-cis                 A      63.241.4.230
bhdr                     A      144.160.125.226
bhdr                     A      144.161.106.182
bhdr                     A      144.161.77.254
bhmcsidmaccess           A      144.161.9.124
bhmcsidmgate             A      144.161.9.125
bhmcsintegration         A      144.161.9.213
bhxivvpve                A      195.33.104.188
blinktest                A      144.160.219.216
blotto.research          A      207.140.168.69
bma                      A      144.160.233.24
bma-backend-cnms.uccentral  A      12.130.30.68
bma.test                 A      144.160.233.25
bma.uccentral            A      12.130.30.78
bmad.test                A      144.160.233.26
bmfed.uccentral          A      204.178.0.72
bncsedi                  A      135.209.149.64
boauthaccess             A      144.161.106.187
boauthaccess             A      144.161.75.88
boauthaccess-al          A      144.161.106.187
boauthaccess-da          A      144.160.125.172
boauthaccess-ff          A      144.161.75.88
boauthaccess-pre         A      144.160.19.98
boauthaccess-sf          A      144.160.19.140
boauthaccess.stage       A      144.161.106.180
bootstrap-ipsecrouter1.ngfemto.wireless  A      107.122.134.104
bootstrap-ipsecrouter1.ngfemto.wireless  A      166.194.142.104
bosavi.research          A      207.140.168.53
botium-nprd-api          A      144.160.107.155
botornot                 A      63.240.126.40
botswana.research        A      207.140.168.109
bp01                     A      12.153.241.90
bp02                     A      12.153.241.91
brand-dev.stage          A      65.83.225.81
brand-saml-dev.stage     A      65.83.225.67
brandcenter-waf-km       A      144.160.34.238
bset-scentus-nprd-agw.cloud  A      52.255.98.235
bthscmintegration        A      135.209.156.248
bulkdata-labs-a.ecolabs.cloud  A      13.59.58.128
bulkdata-labs-a.ecolabs.cloud  A      3.143.44.225
bulkdata-labs-a.ecolabs.cloud  A      3.23.53.227
bulkdata-labs-b.ecolabs.cloud  A      3.17.102.246
bulkdata-labs-b.ecolabs.cloud  A      3.19.155.132
bulkdata-labs-b.ecolabs.cloud  A      3.22.56.93
bulkdata-usp-labs-a.ecolabs.cloud  A      18.218.226.133
bulkdata-usp-labs-a.ecolabs.cloud  A      3.12.119.65
bulkdata-usp-labs-a.ecolabs.cloud  A      3.135.10.122
bulkdata-usp-labs-b.ecolabs.cloud  A      18.117.42.8
bulkdata-usp-labs-b.ecolabs.cloud  A      18.217.203.65
bulkdata-usp-labs-b.ecolabs.cloud  A      18.218.21.198
bulkdata.drtas.cloud     A      3.128.167.106
bulkdata.drtas.cloud     A      3.15.133.69
bulkdata.drtas.cloud     A      3.150.233.242
bulkhvsmtp02             A      144.160.128.180
bulkhvsmtp03             A      144.160.128.183
bulksmtp02               A      144.160.128.179
bulksmtp03               A      144.160.128.182
business-preview         A      144.161.151.163
buyasession-qa.wireless  A      170.35.216.177
buyasession-stg.wireless  A      170.35.234.188
buyasession.wireless     A      170.35.237.127
c-networkauth.stage      A      144.160.194.180
c2bc.um                  A      199.108.23.28
caaid-pre                A      144.160.19.149
caaid-tosd-pre           A      144.160.19.149
caccess-al               A      144.161.106.75
caccess-bi               A      144.161.8.160
caccess.stage            A      144.160.149.221
cae-reflector.research   A      204.178.9.68
callback.claritynvtlync.test  A      206.18.191.91
callback.claritynvtsfb.test  A      206.18.191.92
calltree.em              A      144.160.230.42
callvantage              A      12.194.240.23
canopi                   A      144.160.34.156
canopi-test              A      144.160.34.153
canopy-leaf-origin-alp   A      144.160.239.85
canopy-leaf-origin-dal   A      144.161.200.85
canopy-swu-origin-alp    A      144.160.239.86
canopy-swu-origin-dal    A      144.161.200.86
captionconductor-mp      A      144.160.219.210
care.callvantage         A      12.194.240.22
careplus                 A      142.93.67.246
cb1-pre                  A      144.160.19.149
cb2-pre                  A      144.160.19.149
cb3-pre                  A      144.160.19.149
cbusdevsmtp04            A      144.161.24.243
cbusdevsmtp05            A      144.160.116.167
cbusdevsmtp06            A      144.160.116.166
cbusdevsmtp07            A      144.161.24.244
cbusprodsmtp01           A      144.160.236.34
cbusprodsmtp02           A      144.161.64.57
cbusprodsmtp03           A      144.161.65.253
cbusprodsmtp04           A      144.161.121.157
cbusprodsmtp05           A      144.161.121.158
cbusprodsmtp06           A      144.161.24.242
cbusprodsmtp07           A      144.161.24.241
cc1-agc                  A      32.65.64.10
ccconnect                A      139.76.134.52
ccconnectpreprod         A      139.76.136.32
ccgwsl-sm.teleconference  A      144.160.233.95
ccgwsl-st.teleconference  A      144.160.233.94
ccontent-al              A      144.161.106.74
ccontent-bi              A      144.161.8.159
ccontent.stage           A      144.160.149.220
ccr                      A      144.160.219.195
ccssms                   A      144.160.107.98
cdangercats-pre          A      144.160.19.149
cdma-pre                 A      144.160.19.149
cds                      A      70.150.100.33
ce-prod-datchl           A      12.144.80.23
cert-da.e-access         A      144.161.216.32
cert-da.idp.blogin       A      144.160.125.214
cert-da.idp.flogin       A      144.160.125.195
cert-sf.idp.blogin       A      144.160.19.208
cert-sf.idp.flogin       A      144.160.19.197
cert.idp.blogin          A      144.160.125.214
cert.idp.blogin          A      144.160.19.208
cert.idp.flogin          A      144.160.125.195
cert.idp.flogin          A      144.160.19.197
cert.idp.flogin          A      144.161.106.110
cert.stage.blogin        A      144.161.106.191
cert.stage.flogin        A      144.161.9.201
certauth-al.idp.clogin   A      144.161.106.155
certauth-da.idp.clogin   A      144.160.125.202
certauth-ff.idp.clogin   A      144.161.77.213
certauth-pre.idp.clogin  A      144.160.19.158
certauth-sf.idp.clogin   A      144.160.19.181
certauth.idp.clogin      A      144.160.125.202
certauth.idp.clogin      A      144.160.19.181
certauth.idp.clogin      A      144.161.106.155
certauth.idp.clogin      A      144.161.77.213
certauth.stage.clogin    A      144.161.137.207
certauth.test.clogin     A      144.161.137.216
certauthhbo-pre.idp.clogin  A      144.160.19.144
certoauth-da.stage.elogin  A      144.160.125.133
certoauth.elogin         A      144.160.241.243
certoauth.idp.elogin     A      144.160.125.121
certoauth.idp.elogin     A      144.160.149.244
certoauth.idp.elogin     A      144.161.106.245
certoauth.stage.elogin   A      144.160.125.133
certoauth.stage.elogin   A      144.160.241.246
certoauth2.stage.elogin  A      144.160.243.80
certoidc.dev3.elogin     A      144.161.113.24
certoidc.st.elogin       A      144.161.113.28
cexpress-pre             A      144.160.19.149
cgate.stage              A      144.160.194.114
cgatemas.stage           A      144.160.194.117
channels.research        A      204.178.3.254
chcas-pre                A      144.160.19.165
chclm-pre                A      144.160.19.165
chclm.stage              A      144.161.137.199
chcs-fed-neutrino.uc     A      135.110.52.234
chcs-neutrino.uc         A      135.110.52.112
chcssd3.uccentral        A      135.110.52.117
chtus-pre                A      144.160.19.149
ci                       A      144.160.219.165
ciamapi-oauth-pre        A      144.160.19.165
ciamapi-oauth.stage      A      144.161.137.199
ciamapi-pki-ext-pre.idp.clogin  A      144.160.19.158
ciamapi-pki-ext.stage    A      144.161.137.207
cipauth-pre              A      144.160.19.149
ciqcol01.ciq.labs        A      52.252.0.170
ciqdrcol01.ciq.labs      A      12.226.78.132
ciqdrweb01.ciq.labs      A      12.226.78.133
ciqupload.ciq.labs       A      76.206.125.21
ciqweb01.ciq.labs        A      216.103.127.205
cl001.eastus2.prod.iebus.azure.cloud  A      52.179.176.108
cl001.eastus2.uat.iebus.azure.cloud  A      52.252.102.115
cl001.westus2.prod.iebus.azure.cloud  A      13.66.229.20
cl001.westus2.uat.iebus.azure.cloud  A      20.98.89.232
claccess                 A      144.160.125.206
claccess                 A      144.160.19.172
claccess                 A      144.161.106.162
claccess                 A      144.161.77.233
claccess-al              A      144.161.106.162
claccess-da              A      144.160.125.206
claccess-ff              A      144.161.77.233
claccess-pre             A      144.160.19.149
claccess-sf              A      144.160.19.172
claccess.stage           A      144.161.113.41
claccess.stage           A      144.161.137.205
claccess.test            A      144.161.137.218
clcontent                A      144.160.125.207
clcontent                A      144.160.19.173
clcontent                A      144.161.106.163
clcontent                A      144.161.77.234
clcontent-al             A      144.161.106.163
clcontent-da             A      144.160.125.207
clcontent-ff             A      144.161.77.234
clcontent-pre            A      144.160.19.151
clcontent-sf             A      144.160.19.173
clcontent.stage          A      144.161.137.206
clcontent.test           A      144.161.137.217
clec                     A      144.160.107.202
click.wireless           A      170.35.214.48
click2.wireless          A      170.35.214.9
cloauth-al.idp.clogin    A      144.161.106.158
cloauth-da.idp.clogin    A      144.160.125.205
cloauth-ff.idp.clogin    A      144.161.77.210
cloauth-pre.idp.clogin   A      144.160.19.152
cloauth-sf.idp.clogin    A      144.160.19.178
cloauth.idp.clogin       A      144.160.125.205
cloauth.idp.clogin       A      144.160.19.178
cloauth.idp.clogin       A      144.161.106.158
cloauth.idp.clogin       A      144.161.77.210
cloauth.stage.clogin     A      144.161.137.211
cloauthaccess            A      144.160.125.187
cloauthaccess            A      144.160.19.192
cloauthaccess            A      144.161.106.149
cloauthaccess            A      144.161.77.219
cloauthaccess-al         A      144.161.106.149
cloauthaccess-da         A      144.160.125.187
cloauthaccess-ff         A      144.161.77.219
cloauthaccess-pre        A      144.160.19.165
cloauthaccess-sf         A      144.160.19.192
cloauthaccess.stage      A      144.161.137.199
cloauthaccess.test       A      144.161.137.224
cloidc.stage.clogin      A      144.161.113.30
cloidc.stage.clogin      A      144.161.137.210
cloidc.test.clogin       A      144.161.137.213
cloudadm.synaptic        A      130.3.76.11
cloudapi-wdc1.synaptic   A      130.3.76.13
cloudcover.research      A      207.140.168.144
clouduser-wdc1.synaptic  A      130.3.76.12
cm.dev.dni.cloud         A      135.170.47.48
cm.dni.cloud             A      135.170.100.123
cm.dni.cloud             A      135.170.103.23
cm.dni.cloud             A      135.170.234.45
cm.ist.dni.cloud         A      135.170.101.251
cm.lab.dni.cloud         A      130.3.79.185
cm.stg.dni.cloud         A      130.3.108.59
cm.stg.dni.cloud         A      130.3.77.250
cmhsce-carrollton.wireless  A      12.230.209.9
cmhsce-hazelwood.wireless  A      12.230.209.73
cmhsne-columbia.wireless  A      12.230.208.201
cmhsne-rochelle-park.wireless  A      12.230.208.137
cmhsse-decatur.wireless  A      12.230.208.54
cmhsse-lake-mary.wireless  A      12.230.208.73
cmhswe-santa-ana.wireless  A      12.230.209.201
cmhswe-santa-clara.wireless  A      12.230.209.137
cms-dev.stage            A      65.83.225.43
cms-dev2.stage           A      65.83.225.45
cms-test.stage           A      65.83.225.42
cms.stage                A      65.83.225.44
cmsadm                   A      144.160.149.90
cmsadm-dev.stage         A      65.83.225.153
cmsadm-test.stage        A      65.83.225.114
cmsadm.stage             A      65.83.225.223
cmtabn.bus               A      192.20.13.165
cmtdevtuhub              A      144.161.177.36
cmttesttuhub             A      144.161.177.38
cmttuhub                 A      144.161.177.37
cmultikmsi-pre           A      144.160.19.149
cn-ext-jira.iqidev.labs  A      20.97.232.108
cnosc                    A      12.174.102.38
cnosc-remoteaccess       A      12.174.102.37
cobot.research           A      207.140.168.76
col01.bd.labs            A      20.97.232.108
col01.iqi.labs           A      20.97.232.108
collabportal.stage       A      144.161.106.146
coloadmin.uc             A      12.130.10.151
common-auth-ha2.nprd-gw.cloud  A      2.2.2.2
compute.synaptic         A      63.241.117.2
conagw-dev-e2.cloud      A      20.85.116.44
conagw-perf-e2.cloud     A      4.152.97.226
conagw-stg-w2.cloud      A      52.149.19.186
confhpa                  A      144.160.233.132
confssp                  A      144.160.233.138
console.san3.ccp         A      104.176.204.8
consumer                 A      144.160.219.35
consumer.stage           A      144.160.154.35
control-labs-a.ecolabs.cloud  A      135.170.26.214
control-labs-a.ecolabs.cloud  A      135.170.26.60
control.labs             A      205.173.58.2
copyright-csr            A      216.77.188.124
copyright-csr-test.stage  A      65.83.225.105
coreconnected            A      144.160.230.101
corpfin-ash1-test-ords01.oci.cloud  A      150.136.29.179
corpfin-phx1-dev1-oic01.cloud  A      129.153.117.209
corpfin-phx1-dev1-ords01.cloud  A      129.153.69.226
corpfin-phx1-dev2-oic01.cloud  A      132.226.127.57
corpfin-phx1-dev2-ords01.cloud  A      132.226.158.1
corpfin-phx1-dev3-oic01.cloud  A      129.153.77.55
corpfin-phx1-dev3-ords01.cloud  A      144.24.61.166
corpfin-phx1-dev5-oic01.cloud  A      144.24.30.147
corpfin-phx1-dev5-ords01.cloud  A      129.153.194.255
corpfin-phx1-dev6-oic01.cloud  A      141.148.141.225
corpfin-test-oic01.cloud  A      129.153.206.29
cospace.research         A      207.140.168.55
cp-ebill                 A      144.160.230.69
crm9ap01-lab-cif         A      144.160.219.154
crm9ap03-lab-cif         A      144.160.219.153
crm9ap03.gcsc.ens        A      135.25.195.142
csdaccess-ext            A      135.209.156.59
csdaccess-ext-p2         A      135.209.168.52
csdktv-pre               A      144.160.19.149
csdwebgate-ext           A      135.209.156.60
csdwebgate-ext-p2        A      135.209.168.51
csi-bau-ext              A      144.160.107.121
csi-bau-ext              A      144.160.142.75
csi-bau-ext              A      144.160.194.65
csi-bau-ext-bhdc         A      144.161.8.103
csi-bau-ext-bodc         A      135.209.148.47
csi-bau-ext-dadc         A      144.160.125.15
csi-bau-ext-wwdc         A      170.35.212.78
csi-ext1.test            A      144.160.107.120
csi-ext1.test            A      144.160.142.74
csi-ext2.test            A      144.160.107.120
csi-ext2.test            A      144.160.142.74
csi-ext3.test            A      144.160.107.120
csi-ext3.test            A      144.160.142.74
csi-ext4.test            A      144.160.149.148
csi-ext4.test            A      144.160.84.155
csi-ext5.test            A      144.160.149.148
csi-ext5.test            A      144.160.84.155
csi-ext6.test            A      144.160.149.148
csi-ext6.test            A      144.160.84.155
csi-ext9.test            A      144.160.149.148
csi-ext9.test            A      144.160.84.155
csi-gw-eu2-nprd.cloud    A      20.57.82.248
csi-gw-eu2.cloud         A      20.96.164.216
csi-gw-scu.cloud         A      13.85.186.91
csi-gw-wu2-nprd-q22a.cloud  A      20.3.25.232
csi-gw-wu2-nprd-q25a.cloud  A      20.120.193.156
csi-gw-wu2-nprd-q28a.cloud  A      20.3.25.245
csi-gw-wu2.cloud         A      20.252.37.22
csi-wa-ext               A      144.160.125.224
csidmaccess              A      144.160.142.55
csidmaccess              A      144.160.29.71
csidmgate                A      144.160.142.56
csidmgate                A      144.160.29.72
csintegration            A      144.161.71.236
csintegration            A      144.161.9.213
csintegration-waf        A      144.160.29.236
csit                     A      144.160.81.193
csit-cf                  A      144.160.81.194
csmip.bus                A      144.160.233.70
csp-secureapp.stage      A      216.77.188.120
csub-av.hvs              A      12.203.52.76
csub.hvs                 A      12.203.52.76
ctf.az.cloud             A      20.188.74.81
ctoken-ext.stage         A      144.161.137.207
ctokenval-pre.idp.clogin  A      144.160.19.158
customerservice.stage    A      144.160.154.34
cvalcreds-pre.idp.clogin  A      144.160.19.158
cvoipacs-as.research     A      204.178.15.155
cvoipacs-vg-eth1.research  A      204.178.15.157
cvoipacs-vg.research     A      204.178.15.167
cvoipacs-ws.research     A      204.178.15.138
cvs-graphviz.research    A      204.178.9.44
cw-dig-agw-eastus2.az.cloud  A      52.177.239.48
cw-dig-agw-eu2-dev.az.cloud  A      20.75.34.81
cw-dig-agw-westus2.az.cloud  A      20.69.71.101
cw-dig-agw-wu2-dev.az.cloud  A      20.99.189.186
d-supplychainapisonwaf   A      144.160.107.55
d1-scmintegration        A      130.3.84.138
d1tng                    A      144.160.219.100
d2-scmintegration        A      130.3.84.139
d2tng                    A      144.160.219.101
d4now-aks.perf           A      199.179.8.53
da201.hvs                A      12.226.222.86
da202.hvs                A      12.203.52.86
dal-enhanced-mgmt.uc     A      63.241.242.99
dal-fed-adfs-1.uc        A      206.16.60.41
dal-hcsg-cprt1.uc        A      12.120.245.84
dal-vcse-c1-1.video      A      63.241.223.240
dal-vcse-c1-2.video      A      63.241.223.241
dal-vcse-c1-3.video      A      63.241.223.242
dal-vcse-c1-4.video      A      63.241.223.243
dal-vcse-c1-5.video      A      63.241.223.244
dal-vcse-c1-6.video      A      63.241.223.245
dal-vcse-c1.video        A      63.241.223.240
dal-vcse-c1.video        A      63.241.223.241
dal-vcse-c1.video        A      63.241.223.242
dal-vcse-c1.video        A      63.241.223.243
dal-vcse-c1.video        A      63.241.223.244
dal-vcse-c1.video        A      63.241.223.245
dal01.c2bc.um            A      199.108.23.29
